Country,Clicks,Impressions,CTR,Position
United States,0,173,0%,70.39
Brazil,0,9,0%,75.11
Vietnam,0,3,0%,91.67
India,0,2,0%,75
Morocco,0,2,0%,75
Colombia,0,2,0%,82
Mongolia,0,1,0%,69
United Kingdom,0,1,0%,71
Mexico,0,1,0%,74
Argentina,0,1,0%,75
Puerto Rico,0,1,0%,76
Germany,0,1,0%,77
Peru,0,1,0%,77
Poland,0,1,0%,78
Saudi Arabia,0,1,0%,80
Ecuador,0,1,0%,88
Indonesia,0,1,0%,92
Canada,0,1,0%,93
Italy,0,1,0%,94
